Currency,Rate,Date,,,,
AUD,1.795600000,01/1/2010,,,,
AUD,1.527400000,01/1/2011,,,,
AUD,1.515900000,01/1/2012,,,,
AUD,1.565700000,01/1/2013,,,,
AUD,1.851300000,01/1/2014,,,,
AUD,1.905400000,01/1/2015,,,,
AUD,2.025900000,01/1/2016,,,,
AUD,1.706500000,01/1/2017,,,,
AUD,1.812200000,01/10/2009,,,,
AUD,1.627500000,01/10/2010,,,,
AUD,1.602900000,01/10/2011,,,,
AUD,1.552900000,01/10/2012,,,,
AUD,1.731900000,01/10/2013,,,,
AUD,1.852600000,01/10/2014,,,,
AUD,2.157000000,01/10/2015,,,,
AUD,1.697500000,01/10/2016,,,,
AUD,1.824200000,01/11/2009,,,,
AUD,1.631100000,01/11/2010,,,,
AUD,1.521400000,01/11/2011,,,,
AUD,1.553700000,01/11/2012,,,,
AUD,1.696600000,01/11/2013,,,,
AUD,1.820100000,01/11/2014,,,,
AUD,2.164700000,01/11/2015,,,,
AUD,1.604400000,01/11/2016,,,,
AUD,1.792900000,01/12/2009,,,,
AUD,1.623900000,01/12/2010,,,,
AUD,1.531000000,01/12/2011,,,,
AUD,1.536200000,01/12/2012,,,,
AUD,1.792500000,01/12/2013,,,,
AUD,1.834900000,01/12/2014,,,,
AUD,2.077400000,01/12/2015,,,,
AUD,1.691000000,01/12/2016,,,,
AUD,1.802800000,01/2/2010,,,,
AUD,1.606600000,01/2/2011,,,,
AUD,1.484900000,01/2/2012,,,,
AUD,1.520000000,01/2/2013,,,,
AUD,1.883600000,01/2/2014,,,,
AUD,1.936200000,01/2/2015,,,,
AUD,2.005400000,01/2/2016,,,,
AUD,1.657200000,01/2/2017,,,,
AUD,2.063000000,01/3/2009,,,,
AUD,1.700100000,01/3/2010,,,,
AUD,1.652700000,01/3/2010,,,,
AUD,1.597300000,01/3/2011,,,,
AUD,1.550000000,01/3/2011,,,,
AUD,1.478500000,01/3/2012,,,,
AUD,1.542300000,01/3/2012,,,,
AUD,1.482700000,01/3/2013,,,,
AUD,1.456500000,01/3/2013,,,,
AUD,1.872800000,01/3/2014,,,,
AUD,1.798800000,01/3/2014,,,,
AUD,1.974800000,01/3/2015,,,,
AUD,1.943200000,01/3/2015,,,,
AUD,1.951100000,01/3/2016,,,,
AUD,1.868400000,01/3/2016,,,,
AUD,2.063000000,01/4/2009,,,,
AUD,1.652700000,01/4/2010,,,,
AUD,1.550000000,01/4/2011,,,,
AUD,1.542300000,01/4/2012,,,,
AUD,1.456500000,01/4/2013,,,,
AUD,1.798800000,01/4/2014,,,,
AUD,1.943200000,01/4/2015,,,,
AUD,1.868400000,01/4/2016,,,,
AUD,2.016900000,01/5/2009,,,,
AUD,1.644400000,01/5/2010,,,,
AUD,1.524200000,01/5/2011,,,,
AUD,1.559800000,01/5/2012,,,,
AUD,1.499400000,01/5/2013,,,,
AUD,1.822400000,01/5/2014,,,,
AUD,1.948300000,01/5/2015,,,,
AUD,1.919500000,01/5/2016,,,,
AUD,2.014600000,01/6/2009,,,,
AUD,1.732300000,01/6/2010,,,,
AUD,1.544700000,01/6/2011,,,,
AUD,1.586900000,01/6/2012,,,,
AUD,1.581400000,01/6/2013,,,,
AUD,1.802300000,01/6/2014,,,,
AUD,1.993500000,01/6/2015,,,,
AUD,2.009100000,01/6/2016,,,,
AUD,2.037100000,01/7/2009,,,,
AUD,1.771300000,01/7/2010,,,,
AUD,1.499600000,01/7/2011,,,,
AUD,1.530100000,01/7/2012,,,,
AUD,1.657000000,01/7/2013,,,,
AUD,1.811600000,01/7/2014,,,,
AUD,2.046200000,01/7/2015,,,,
AUD,1.795300000,01/7/2016,,,,
AUD,1.994200000,01/8/2009,,,,
AUD,1.730000000,01/8/2010,,,,
AUD,1.494400000,01/8/2011,,,,
AUD,1.488900000,01/8/2012,,,,
AUD,1.689300000,01/8/2013,,,,
AUD,1.816000000,01/8/2014,,,,
AUD,2.125000000,01/8/2015,,,,
AUD,1.746900000,01/8/2016,,,,
AUD,1.933200000,01/9/2009,,,,
AUD,1.726800000,01/9/2010,,,,
AUD,1.520400000,01/9/2011,,,,
AUD,1.537000000,01/9/2012,,,,
AUD,1.736800000,01/9/2013,,,,
AUD,1.775700000,01/9/2014,,,,
AUD,2.146700000,01/9/2015,,,,
AUD,1.742700000,01/9/2016,,,,
BDT,111.845000000,01/1/2010,,,,
BDT,110.339000000,01/1/2011,,,,
BDT,127.172000000,01/1/2012,,,,
BDT,129.674000000,01/1/2013,,,,
BDT,128.633000000,01/1/2014,,,,
BDT,121.505000000,01/1/2015,,,,
BDT,115.664700000,01/1/2016,,,,
BDT,97.122200000,01/1/2017,,,,
BDT,110.459000000,01/10/2009,,,,
BDT,109.400000000,01/10/2010,,,,
BDT,117.186000000,01/10/2011,,,,
BDT,131.832000000,01/10/2012,,,,
BDT,125.771000000,01/10/2013,,,,
BDT,125.437000000,01/10/2014,,,,
BDT,117.810600000,01/10/2015,,,,
BDT,101.809500000,01/10/2016,,,,
BDT,113.827000000,01/11/2009,,,,
BDT,113.075000000,01/11/2010,,,,
BDT,122.986000000,01/11/2011,,,,
BDT,130.858000000,01/11/2012,,,,
BDT,124.841000000,01/11/2013,,,,
BDT,123.804000000,01/11/2014,,,,
BDT,120.177600000,01/11/2015,,,,
BDT,95.852600000,01/11/2016,,,,
BDT,113.302000000,01/12/2009,,,,
BDT,109.676000000,01/12/2010,,,,
BDT,120.885000000,01/12/2011,,,,
BDT,130.344000000,01/12/2012,,,,
BDT,127.236000000,01/12/2013,,,,
BDT,121.486000000,01/12/2014,,,,
BDT,118.888500000,01/12/2015,,,,
BDT,99.202900000,01/12/2016,,,,
BDT,110.830000000,01/2/2010,,,,
BDT,113.949000000,01/2/2011,,,,
BDT,133.290000000,01/2/2012,,,,
BDT,125.655000000,01/2/2013,,,,
BDT,127.655000000,01/2/2014,,,,
BDT,116.536000000,01/2/2015,,,,
BDT,111.288400000,01/2/2016,,,,
BDT,100.018900000,01/2/2017,,,,
BDT,98.951300000,01/3/2009,,,,
BDT,105.396000000,01/3/2010,,,,
BDT,105.030000000,01/3/2010,,,,
BDT,115.921000000,01/3/2011,,,,
BDT,116.254000000,01/3/2011,,,,
BDT,130.631000000,01/3/2012,,,,
BDT,130.680000000,01/3/2012,,,,
BDT,119.690000000,01/3/2013,,,,
BDT,118.553000000,01/3/2013,,,,
BDT,130.239000000,01/3/2014,,,,
BDT,129.371000000,01/3/2014,,,,
BDT,120.061000000,01/3/2015,,,,
BDT,115.501100000,01/3/2015,,,,
BDT,109.348200000,01/3/2016,,,,
BDT,112.619500000,01/3/2016,,,,
BDT,98.951300000,01/4/2009,,,,
BDT,105.030000000,01/4/2010,,,,
BDT,116.254000000,01/4/2011,,,,
BDT,130.680000000,01/4/2012,,,,
BDT,118.553000000,01/4/2013,,,,
BDT,129.371000000,01/4/2014,,,,
BDT,115.501100000,01/4/2015,,,,
BDT,112.619500000,01/4/2016,,,,
BDT,102.281000000,01/5/2009,,,,
BDT,106.020000000,01/5/2010,,,,
BDT,121.602000000,01/5/2011,,,,
BDT,132.953000000,01/5/2012,,,,
BDT,121.314000000,01/5/2013,,,,
BDT,131.032000000,01/5/2014,,,,
BDT,119.575200000,01/5/2015,,,,
BDT,114.811600000,01/5/2016,,,,
BDT,111.322000000,01/6/2009,,,,
BDT,100.762000000,01/6/2010,,,,
BDT,121.109000000,01/6/2011,,,,
BDT,126.018000000,01/6/2012,,,,
BDT,117.884000000,01/6/2013,,,,
BDT,129.869000000,01/6/2014,,,,
BDT,118.680700000,01/6/2015,,,,
BDT,114.074700000,01/6/2016,,,,
BDT,113.699000000,01/7/2009,,,,
BDT,103.986000000,01/7/2010,,,,
BDT,119.157000000,01/7/2011,,,,
BDT,128.323000000,01/7/2012,,,,
BDT,117.931000000,01/7/2013,,,,
BDT,132.684000000,01/7/2014,,,,
BDT,122.316600000,01/7/2015,,,,
BDT,104.771000000,01/7/2016,,,,
BDT,114.483000000,01/8/2009,,,,
BDT,108.727000000,01/8/2010,,,,
BDT,122.628000000,01/8/2011,,,,
BDT,128.000000000,01/8/2012,,,,
BDT,117.888000000,01/8/2013,,,,
BDT,130.793000000,01/8/2014,,,,
BDT,121.367900000,01/8/2015,,,,
BDT,104.198200000,01/8/2016,,,,
BDT,112.546000000,01/9/2009,,,,
BDT,106.699000000,01/9/2010,,,,
BDT,120.246000000,01/9/2011,,,,
BDT,129.784000000,01/9/2012,,,,
BDT,120.217000000,01/9/2013,,,,
BDT,128.575000000,01/9/2014,,,,
BDT,119.411400000,01/9/2015,,,,
BDT,102.720300000,01/9/2016,,,,
CAD,1.759800000,01/1/2014,,,,
CAD,1.806000000,01/1/2015,,,,
CAD,2.047400000,01/1/2016,,,,
CAD,1.647600000,01/1/2017,,,,
CAD,1.811700000,01/10/2014,,,,
CAD,2.030800000,01/10/2015,,,,
CAD,1.713600000,01/10/2016,,,,
CAD,1.803800000,01/11/2014,,,,
CAD,2.020600000,01/11/2015,,,,
CAD,1.641000000,01/11/2016,,,,
CAD,1.785700000,01/12/2014,,,,
CAD,2.004500000,01/12/2015,,,,
CAD,1.686800000,01/12/2016,,,,
CAD,1.832400000,01/2/2014,,,,
CAD,1.917900000,01/2/2015,,,,
CAD,1.996200000,01/2/2016,,,,
CAD,1.659100000,01/2/2017,,,,
CAD,1.855100000,01/3/2014,,,,
CAD,1.840100000,01/3/2014,,,,
CAD,1.929900000,01/3/2015,,,,
CAD,1.880100000,01/3/2015,,,,
CAD,1.887800000,01/3/2016,,,,
CAD,1.859100000,01/3/2016,,,,
CAD,1.840100000,01/4/2014,,,,
CAD,1.880100000,01/4/2015,,,,
CAD,1.859100000,01/4/2016,,,,
CAD,1.853100000,01/5/2014,,,,
CAD,1.861400000,01/5/2015,,,,
CAD,1.834900000,01/5/2016,,,,
CAD,1.821400000,01/6/2014,,,,
CAD,1.904800000,01/6/2015,,,,
CAD,1.903900000,01/6/2016,,,,
CAD,1.821300000,01/7/2014,,,,
CAD,1.963400000,01/7/2015,,,,
CAD,1.753000000,01/7/2016,,,,
CAD,1.838000000,01/8/2014,,,,
CAD,2.030100000,01/8/2015,,,,
CAD,1.739100000,01/8/2016,,,,
CAD,1.801500000,01/9/2014,,,,
CAD,2.030600000,01/9/2015,,,,
CAD,1.713600000,01/9/2016,,,,
CHF,1.459300000,01/1/2011,,,,
CHF,1.453200000,01/1/2012,,,,
CHF,1.487900000,01/1/2013,,,,
CHF,1.473000000,01/1/2014,,,,
CHF,1.559300000,01/1/2015,,,,
CHF,1.475400000,01/1/2016,,,,
CHF,1.255900000,01/1/2017,,,,
CHF,1.539500000,01/10/2010,,,,
CHF,1.415000000,01/10/2011,,,,
CHF,1.517600000,01/10/2012,,,,
CHF,1.464400000,01/10/2013,,,,
CHF,1.549000000,01/10/2014,,,,
CHF,1.480100000,01/10/2015,,,,
CHF,1.259300000,01/10/2016,,,,
CHF,1.572500000,01/11/2010,,,,
CHF,1.405500000,01/11/2011,,,,
CHF,1.500200000,01/11/2012,,,,
CHF,1.454800000,01/11/2013,,,,
CHF,1.539800000,01/11/2014,,,,
CHF,1.522400000,01/11/2015,,,,
CHF,1.207300000,01/11/2016,,,,
CHF,1.552200000,01/12/2010,,,,
CHF,1.431500000,01/12/2011,,,,
CHF,1.484700000,01/12/2012,,,,
CHF,1.480200000,01/12/2013,,,,
CHF,1.508900000,01/12/2014,,,,
CHF,1.547400000,01/12/2015,,,,
CHF,1.272700000,01/12/2016,,,,
CHF,1.505100000,01/2/2011,,,,
CHF,1.451200000,01/2/2012,,,,
CHF,1.443600000,01/2/2013,,,,
CHF,1.488400000,01/2/2014,,,,
CHF,1.387000000,01/2/2015,,,,
CHF,1.453500000,01/2/2016,,,,
CHF,1.241200000,01/2/2017,,,,
CHF,1.511700000,01/3/2011,,,,
CHF,1.466500000,01/3/2011,,,,
CHF,1.439100000,01/3/2012,,,,
CHF,1.444200000,01/3/2012,,,,
CHF,1.416600000,01/3/2013,,,,
CHF,1.437900000,01/3/2013,,,,
CHF,1.476100000,01/3/2014,,,,
CHF,1.472700000,01/3/2014,,,,
CHF,1.470700000,01/3/2015,,,,
CHF,1.441900000,01/3/2015,,,,
CHF,1.388000000,01/3/2016,,,,
CHF,1.376400000,01/3/2016,,,,
CHF,1.466500000,01/4/2011,,,,
CHF,1.444200000,01/4/2012,,,,
CHF,1.437900000,01/4/2013,,,,
CHF,1.472700000,01/4/2014,,,,
CHF,1.441900000,01/4/2015,,,,
CHF,1.376400000,01/4/2016,,,,
CHF,1.444860000,01/5/2011,,,,
CHF,1.473900000,01/5/2012,,,,
CHF,1.445800000,01/5/2013,,,,
CHF,1.486700000,01/5/2014,,,,
CHF,1.439800000,01/5/2015,,,,
CHF,1.404100000,01/5/2016,,,,
CHF,1.403900000,01/6/2011,,,,
CHF,1.495700000,01/6/2012,,,,
CHF,1.454900000,01/6/2013,,,,
CHF,1.499500000,01/6/2014,,,,
CHF,1.439500000,01/6/2015,,,,
CHF,1.447100000,01/6/2016,,,,
CHF,1.613400000,01/7/2010,,,,
CHF,1.351800000,01/7/2011,,,,
CHF,1.484600000,01/7/2012,,,,
CHF,1.435100000,01/7/2013,,,,
CHF,1.516300000,01/7/2014,,,,
CHF,1.469800000,01/7/2015,,,,
CHF,1.302300000,01/7/2016,,,,
CHF,1.638600000,01/8/2010,,,,
CHF,1.293900000,01/8/2011,,,,
CHF,1.528400000,01/8/2012,,,,
CHF,1.408700000,01/8/2013,,,,
CHF,1.535200000,01/8/2014,,,,
CHF,1.499800000,01/8/2015,,,,
CHF,1.283200000,01/8/2016,,,,
CHF,1.558400000,01/9/2010,,,,
CHF,1.313100000,01/9/2011,,,,
CHF,1.513200000,01/9/2012,,,,
CHF,1.442300000,01/9/2013,,,,
CHF,1.521000000,01/9/2014,,,,
CHF,1.474800000,01/9/2015,,,,
CHF,1.286900000,01/9/2016,,,,
ETB,20.513300000,01/1/2010,,,,
ETB,26.034100000,01/1/2011,,,,
ETB,26.876700000,01/1/2012,,,,
ETB,29.706400000,01/1/2013,,,,
ETB,31.711500000,01/1/2014,,,,
ETB,31.500800000,01/1/2015,,,,
ETB,31.221700000,01/1/2016,,,,
ETB,27.821900000,01/1/2017,,,,
ETB,20.150100000,01/10/2009,,,,
ETB,25.954700000,01/10/2010,,,,
ETB,26.742200000,01/10/2011,,,,
ETB,29.152500000,01/10/2012,,,,
ETB,30.639100000,01/10/2013,,,,
ETB,32.378400000,01/10/2014,,,,
ETB,31.691800000,01/10/2015,,,,
ETB,28.811900000,01/10/2016,,,,
ETB,20.813600000,01/11/2009,,,,
ETB,26.405400000,01/11/2010,,,,
ETB,27.780400000,01/11/2011,,,,
ETB,29.199900000,01/11/2012,,,,
ETB,30.503800000,01/11/2013,,,,
ETB,32.081000000,01/11/2014,,,,
ETB,32.448600000,01/11/2015,,,,
ETB,27.165000000,01/11/2016,,,,
ETB,20.763200000,01/12/2009,,,,
ETB,25.806100000,01/12/2010,,,,
ETB,27.139600000,01/12/2011,,,,
ETB,29.170600000,01/12/2012,,,,
ETB,31.237700000,01/12/2013,,,,
ETB,31.513700000,01/12/2014,,,,
ETB,31.748300000,01/12/2015,,,,
ETB,27.911700000,01/12/2016,,,,
ETB,20.410200000,01/2/2010,,,,
ETB,26.723500000,01/2/2011,,,,
ETB,27.402200000,01/2/2012,,,,
ETB,29.093400000,01/2/2013,,,,
ETB,31.586400000,01/2/2014,,,,
ETB,30.207300000,01/2/2015,,,,
ETB,30.156600000,01/2/2016,,,,
ETB,28.445600000,01/2/2017,,,,
ETB,16.001400000,01/3/2009,,,,
ETB,20.422600000,01/3/2010,,,,
ETB,20.429200000,01/3/2010,,,,
ETB,27.224300000,01/3/2011,,,,
ETB,26.936200000,01/3/2011,,,,
ETB,27.831200000,01/3/2012,,,,
ETB,27.924100000,01/3/2012,,,,
ETB,27.964400000,01/3/2013,,,,
ETB,28.086500000,01/3/2013,,,,
ETB,32.370000000,01/3/2014,,,,
ETB,32.290200000,01/3/2014,,,,
ETB,31.265200000,01/3/2015,,,,
ETB,30.329700000,01/3/2015,,,,
ETB,29.717000000,01/3/2016,,,,
ETB,30.851600000,01/3/2016,,,,
ETB,16.001400000,01/4/2009,,,,
ETB,20.429200000,01/4/2010,,,,
ETB,26.936200000,01/4/2011,,,,
ETB,27.924100000,01/4/2012,,,,
ETB,28.086500000,01/4/2013,,,,
ETB,32.290200000,01/4/2014,,,,
ETB,30.329700000,01/4/2015,,,,
ETB,30.851600000,01/4/2016,,,,
ETB,16.633400000,01/5/2009,,,,
ETB,20.684700000,01/5/2010,,,,
ETB,28.123700000,01/5/2011,,,,
ETB,28.518700000,01/5/2012,,,,
ETB,28.926300000,01/5/2013,,,,
ETB,32.882000000,01/5/2014,,,,
ETB,31.520500000,01/5/2015,,,,
ETB,31.562000000,01/5/2016,,,,
ETB,18.194000000,01/6/2009,,,,
ETB,19.691500000,01/6/2010,,,,
ETB,27.782400000,01/6/2011,,,,
ETB,27.229000000,01/6/2012,,,,
ETB,28.299900000,01/6/2013,,,,
ETB,32.813200000,01/6/2014,,,,
ETB,31.404800000,01/6/2015,,,,
ETB,31.584300000,01/6/2016,,,,
ETB,18.698400000,01/7/2009,,,,
ETB,20.346600000,01/7/2010,,,,
ETB,27.276200000,01/7/2011,,,,
ETB,27.948500000,01/7/2012,,,,
ETB,28.416600000,01/7/2013,,,,
ETB,33.560700000,01/7/2014,,,,
ETB,32.506100000,01/7/2015,,,,
ETB,29.275700000,01/7/2016,,,,
ETB,20.777100000,01/8/2009,,,,
ETB,21.370600000,01/8/2010,,,,
ETB,27.982300000,01/8/2011,,,,
ETB,28.088600000,01/8/2012,,,,
ETB,28.503400000,01/8/2013,,,,
ETB,33.382000000,01/8/2014,,,,
ETB,32.391300000,01/8/2015,,,,
ETB,29.329000000,01/8/2016,,,,
ETB,20.481700000,01/9/2009,,,,
ETB,21.050300000,01/9/2010,,,,
ETB,27.866200000,01/9/2011,,,,
ETB,28.585200000,01/9/2012,,,,
ETB,29.180000000,01/9/2013,,,,
ETB,33.005800000,01/9/2014,,,,
ETB,31.992700000,01/9/2015,,,,
ETB,28.983800000,01/9/2016,,,,
EUR,1.125500000,01/1/2010,,,,
EUR,1.167100000,01/1/2011,,,,
EUR,1.197200000,01/1/2012,,,,
EUR,1.233000000,01/1/2013,,,,
EUR,1.202000000,01/1/2014,,,,
EUR,1.288600000,01/1/2015,,,,
EUR,1.356800000,01/1/2016,,,,
EUR,1.171500000,01/1/2017,,,,
EUR,1.094200000,01/10/2009,,,,
EUR,1.154300000,01/10/2010,,,,
EUR,1.161100000,01/10/2011,,,,
EUR,1.255200000,01/10/2012,,,,
EUR,1.196300000,01/10/2013,,,,
EUR,1.283400000,01/10/2014,,,,
EUR,1.375000000,01/10/2015,,,,
EUR,1.155900000,01/10/2016,,,,
EUR,1.117200000,01/11/2009,,,,
EUR,1.150300000,01/11/2010,,,,
EUR,1.157200000,01/11/2011,,,,
EUR,1.243300000,01/11/2012,,,,
EUR,1.181800000,01/11/2013,,,,
EUR,1.276900000,01/11/2014,,,,
EUR,1.398100000,01/11/2015,,,,
EUR,1.113800000,01/11/2016,,,,
EUR,1.093100000,01/12/2009,,,,
EUR,1.196400000,01/12/2010,,,,
EUR,1.168400000,01/12/2011,,,,
EUR,1.232300000,01/12/2012,,,,
EUR,1.203100000,01/12/2013,,,,
EUR,1.256300000,01/12/2014,,,,
EUR,1.425300000,01/12/2015,,,,
EUR,1.177800000,01/12/2016,,,,
EUR,1.152900000,01/2/2010,,,,
EUR,1.168400000,01/2/2011,,,,
EUR,1.205500000,01/2/2012,,,,
EUR,1.168000000,01/2/2013,,,,
EUR,1.218700000,01/2/2014,,,,
EUR,1.335200000,01/2/2015,,,,
EUR,1.310900000,01/2/2016,,,,
EUR,1.164200000,01/2/2017,,,,
EUR,1.079600000,01/3/2009,,,,
EUR,1.115600000,01/3/2010,,,,
EUR,1.121100000,01/3/2010,,,,
EUR,1.177600000,01/3/2011,,,,
EUR,1.129600000,01/3/2011,,,,
EUR,1.194200000,01/3/2012,,,,
EUR,1.199800000,01/3/2012,,,,
EUR,1.161100000,01/3/2013,,,,
EUR,1.182500000,01/3/2013,,,,
EUR,1.213400000,01/3/2014,,,,
EUR,1.209600000,01/3/2014,,,,
EUR,1.378800000,01/3/2015,,,,
EUR,1.382200000,01/3/2015,,,,
EUR,1.282600000,01/3/2016,,,,
EUR,1.261300000,01/3/2016,,,,
EUR,1.079600000,01/4/2009,,,,
EUR,1.121100000,01/4/2010,,,,
EUR,1.129600000,01/4/2011,,,,
EUR,1.199800000,01/4/2012,,,,
EUR,1.182500000,01/4/2013,,,,
EUR,1.209600000,01/4/2014,,,,
EUR,1.382200000,01/4/2015,,,,
EUR,1.261300000,01/4/2016,,,,
EUR,1.118300000,01/5/2009,,,,
EUR,1.151200000,01/5/2010,,,,
EUR,1.124300000,01/5/2011,,,,
EUR,1.226900000,01/5/2012,,,,
EUR,1.180600000,01/5/2013,,,,
EUR,1.217800000,01/5/2014,,,,
EUR,1.371400000,01/5/2015,,,,
EUR,1.279000000,01/5/2016,,,,
EUR,1.139200000,01/6/2009,,,,
EUR,1.184100000,01/6/2010,,,,
EUR,1.145000000,01/6/2011,,,,
EUR,1.244900000,01/6/2012,,,,
EUR,1.169900000,01/6/2013,,,,
EUR,1.229300000,01/6/2014,,,,
EUR,1.391800000,01/6/2015,,,,
EUR,1.307400000,01/6/2016,,,,
EUR,1.174100000,01/7/2009,,,,
EUR,1.221400000,01/7/2010,,,,
EUR,1.107300000,01/7/2011,,,,
EUR,1.236000000,01/7/2012,,,,
EUR,1.166800000,01/7/2013,,,,
EUR,1.248900000,01/7/2014,,,,
EUR,1.411500000,01/7/2015,,,,
EUR,1.203300000,01/7/2016,,,,
EUR,1.169400000,01/8/2009,,,,
EUR,1.202100000,01/8/2010,,,,
EUR,1.142300000,01/8/2011,,,,
EUR,1.272200000,01/8/2012,,,,
EUR,1.141800000,01/8/2013,,,,
EUR,1.261900000,01/8/2014,,,,
EUR,1.412400000,01/8/2015,,,,
EUR,1.187300000,01/8/2016,,,,
EUR,1.135800000,01/9/2009,,,,
EUR,1.209300000,01/9/2010,,,,
EUR,1.130900000,01/9/2011,,,,
EUR,1.260100000,01/9/2012,,,,
EUR,1.173200000,01/9/2013,,,,
